Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Small Business,Mexico, Montana , None , $958.00 , $5.00 , $300.00 ," $2,87,400.00 ", $-   ," $2,87,400.00 "," $2,39,500.00 "," $47,900.00 ",01/08/2014,8, August ,2014
Government,Germany, Montana , None ," $2,146.00 ", $5.00 , $7.00 ," $15,022.00 ", $-   ," $15,022.00 "," $10,730.00 "," $4,292.00 ",01/09/2014,9, September ,2014
Enterprise,Canada, Montana , None , $345.00 , $5.00 , $125.00 ," $43,125.00 ", $-   ," $43,125.00 "," $41,400.00 "," $1,725.00 ",01/10/2013,10, October ,2013
Midmarket,United States of America, Montana , None , $615.00 , $5.00 , $15.00 ," $9,225.00 ", $-   ," $9,225.00 "," $6,150.00 "," $3,075.00 ",01/12/2014,12, December ,2014
Government,Canada, Paseo , None , $292.00 , $10.00 , $20.00 ," $5,840.00 ", $-   ," $5,840.00 "," $2,920.00 "," $2,920.00 ",01/02/2014,2, February ,2014
Midmarket,Mexico, Paseo , None , $974.00 , $10.00 , $15.00 ," $14,610.00 ", $-   ," $14,610.00 "," $9,740.00 "," $4,870.00 ",01/02/2014,2, February ,2014
Channel Partners,Canada, Paseo , None ," $2,518.00 ", $10.00 , $12.00 ," $30,216.00 ", $-   ," $30,216.00 "," $7,554.00 "," $22,662.00 ",01/06/2014,6, June ,2014
Government,Germany, Paseo , None ," $1,006.00 ", $10.00 , $350.00 ," $3,52,100.00 ", $-   ," $3,52,100.00 "," $2,61,560.00 "," $90,540.00 ",01/06/2014,6, June ,2014
Channel Partners,Germany, Paseo , None , $367.00 , $10.00 , $12.00 ," $4,404.00 ", $-   ," $4,404.00 "," $1,101.00 "," $3,303.00 ",01/07/2014,7, July ,2014
Government,Mexico, Paseo , None , $883.00 , $10.00 , $7.00 ," $6,181.00 ", $-   ," $6,181.00 "," $4,415.00 "," $1,766.00 ",01/08/2014,8, August ,2014
Midmarket,France, Paseo , None , $549.00 , $10.00 , $15.00 ," $8,235.00 ", $-   ," $8,235.00 "," $5,490.00 "," $2,745.00 ",01/09/2013,9, September ,2013
Small Business,Mexico, Paseo , None , $788.00 , $10.00 , $300.00 ," $2,36,400.00 ", $-   ," $2,36,400.00 "," $1,97,000.00 "," $39,400.00 ",01/09/2013,9, September ,2013
Midmarket,Mexico, Paseo , None ," $2,472.00 ", $10.00 , $15.00 ," $37,080.00 ", $-   ," $37,080.00 "," $24,720.00 "," $12,360.00 ",01/09/2014,9, September ,2014
Government,United States of America, Paseo , None ," $1,143.00 ", $10.00 , $7.00 ," $8,001.00 ", $-   ," $8,001.00 "," $5,715.00 "," $2,286.00 ",01/10/2014,10, October ,2014
Government,Canada, Paseo , None ," $1,725.00 ", $10.00 , $350.00 ," $6,03,750.00 ", $-   ," $6,03,750.00 "," $4,48,500.00 "," $1,55,250.00 ",01/11/2013,11, November ,2013
Channel Partners,United States of America, Paseo , None , $912.00 , $10.00 , $12.00 ," $10,944.00 ", $-   ," $10,944.00 "," $2,736.00 "," $8,208.00 ",01/11/2013,11, November ,2013
Midmarket,Canada, Paseo , None ," $2,152.00 ", $10.00 , $15.00 ," $32,280.00 ", $-   ," $32,280.00 "," $21,520.00 "," $10,760.00 ",01/12/2013,12, December ,2013
Government,Canada, Paseo , None ," $1,817.00 ", $10.00 , $20.00 ," $36,340.00 ", $-   ," $36,340.00 "," $18,170.00 "," $18,170.00 ",01/12/2014,12, December ,2014
Government,Germany, Paseo , None ," $1,513.00 ", $10.00 , $350.00 ," $5,29,550.00 ", $-   ," $5,29,550.00 "," $3,93,380.00 "," $1,36,170.00 ",01/12/2014,12, December ,2014
Government,Mexico, Velo , None ," $1,493.00 ", $120.00 , $7.00 ," $10,451.00 ", $-   ," $10,451.00 "," $7,465.00 "," $2,986.00 ",01/01/2014,1, January ,2014
Enterprise,France, Velo , None ," $1,804.00 ", $120.00 , $125.00 ," $2,25,500.00 ", $-   ," $2,25,500.00 "," $2,16,480.00 "," $9,020.00 ",01/02/2014,2, February ,2014
Channel Partners,Germany, Velo , None ," $2,161.00 ", $120.00 , $12.00 ," $25,932.00 ", $-   ," $25,932.00 "," $6,483.00 "," $19,449.00 ",01/03/2014,3, March ,2014
Government,Germany, Velo , None ," $1,006.00 ", $120.00 , $350.00 ," $3,52,100.00 ", $-   ," $3,52,100.00 "," $2,61,560.00 "," $90,540.00 ",01/06/2014,6, June ,2014
Channel Partners,Germany, Velo , None ," $1,545.00 ", $120.00 , $12.00 ," $18,540.00 ", $-   ," $18,540.00 "," $4,635.00 "," $13,905.00 ",01/06/2014,6, June ,2014
Enterprise,United States of America, Velo , None ," $2,821.00 ", $120.00 , $125.00 ," $3,52,625.00 ", $-   ," $3,52,625.00 "," $3,38,520.00 "," $14,105.00 ",01/08/2014,8, August ,2014
Enterprise,Canada, Velo , None , $345.00 , $120.00 , $125.00 ," $43,125.00 ", $-   ," $43,125.00 "," $41,400.00 "," $1,725.00 ",01/10/2013,10, October ,2013
Small Business,Canada, VTT , None ," $2,001.00 ", $250.00 , $300.00 ," $6,00,300.00 ", $-   ," $6,00,300.00 "," $5,00,250.00 "," $1,00,050.00 ",01/02/2014,2, February ,2014
Channel Partners,Germany, VTT , None ," $2,838.00 ", $250.00 , $12.00 ," $34,056.00 ", $-   ," $34,056.00 "," $8,514.00 "," $25,542.00 ",01/04/2014,4, April ,2014
Midmarket,France, VTT , None ," $2,178.00 ", $250.00 , $15.00 ," $32,670.00 ", $-   ," $32,670.00 "," $21,780.00 "," $10,890.00 ",01/06/2014,6, June ,2014
Midmarket,Germany, VTT , None , $888.00 , $250.00 , $15.00 ," $13,320.00 ", $-   ," $13,320.00 "," $8,880.00 "," $4,440.00 ",01/06/2014,6, June ,2014
Government,France, VTT , None ," $1,527.00 ", $250.00 , $350.00 ," $5,34,450.00 ", $-   ," $5,34,450.00 "," $3,97,020.00 "," $1,37,430.00 ",01/09/2013,9, September ,2013
Small Business,France, VTT , None ," $2,151.00 ", $250.00 , $300.00 ," $6,45,300.00 ", $-   ," $6,45,300.00 "," $5,37,750.00 "," $1,07,550.00 ",01/09/2014,9, September ,2014
Government,Canada, VTT , None ," $1,817.00 ", $250.00 , $20.00 ," $36,340.00 ", $-   ," $36,340.00 "," $18,170.00 "," $18,170.00 ",01/12/2014,12, December ,2014
Government,France, Amarilla , None ," $2,750.00 ", $260.00 , $350.00 ," $9,62,500.00 ", $-   ," $9,62,500.00 "," $7,15,000.00 "," $2,47,500.00 ",01/02/2014,2, February ,2014
Channel Partners,United States of America, Amarilla , None ," $1,953.00 ", $260.00 , $12.00 ," $23,436.00 ", $-   ," $23,436.00 "," $5,859.00 "," $17,577.00 ",01/04/2014,4, April ,2014
Enterprise,Germany, Amarilla , None ," $4,219.50 ", $260.00 , $125.00 ," $5,27,437.50 ", $-   ," $5,27,437.50 "," $5,06,340.00 "," $21,097.50 ",01/04/2014,4, April ,2014
Government,France, Amarilla , None ," $1,899.00 ", $260.00 , $20.00 ," $37,980.00 ", $-   ," $37,980.00 "," $18,990.00 "," $18,990.00 ",01/06/2014,6, June ,2014
Government,Germany, Amarilla , None ," $1,686.00 ", $260.00 , $7.00 ," $11,802.00 ", $-   ," $11,802.00 "," $8,430.00 "," $3,372.00 ",01/07/2014,7, July ,2014
Channel Partners,United States of America, Amarilla , None ," $2,141.00 ", $260.00 , $12.00 ," $25,692.00 ", $-   ," $25,692.00 "," $6,423.00 "," $19,269.00 ",01/08/2014,8, August ,2014
Government,United States of America, Amarilla , None ," $1,143.00 ", $260.00 , $7.00 ," $8,001.00 ", $-   ," $8,001.00 "," $5,715.00 "," $2,286.00 ",01/10/2014,10, October ,2014
Midmarket,United States of America, Amarilla , None , $615.00 , $260.00 , $15.00 ," $9,225.00 ", $-   ," $9,225.00 "," $6,150.00 "," $3,075.00 ",01/12/2014,12, December ,2014
Government,France, Paseo , Low ," $3,945.00 ", $10.00 , $7.00 ," $27,615.00 ", $276.15 ," $27,338.85 "," $19,725.00 "," $7,613.85 ",01/01/2014,1, January ,2014
Midmarket,France, Paseo , Low ," $2,296.00 ", $10.00 , $15.00 ," $34,440.00 ", $344.40 ," $34,095.60 "," $22,960.00 "," $11,135.60 ",01/02/2014,2, February ,2014
Government,France, Paseo , Low ," $1,030.00 ", $10.00 , $7.00 ," $7,210.00 ", $72.10 ," $7,137.90 "," $5,150.00 "," $1,987.90 ",01/05/2014,5, May ,2014
Government,France, Velo , Low , $639.00 , $120.00 , $7.00 ," $4,473.00 ", $44.73 ," $4,428.27 "," $3,195.00 "," $1,233.27 ",01/11/2014,11, November ,2014
Government,Canada, VTT , Low ," $1,326.00 ", $250.00 , $7.00 ," $9,282.00 ", $92.82 ," $9,189.18 "," $6,630.00 "," $2,559.18 ",01/03/2014,3, March ,2014
Channel Partners,United States of America, Carretera , Low ," $1,858.00 ", $3.00 , $12.00 ," $22,296.00 ", $222.96 ," $22,073.04 "," $5,574.00 "," $16,499.04 ",01/02/2014,2, February ,2014
Government,Mexico, Carretera , Low ," $1,210.00 ", $3.00 , $350.00 ," $4,23,500.00 "," $4,235.00 "," $4,19,265.00 "," $3,14,600.00 "," $1,04,665.00 ",01/03/2014,3, March ,2014
Government,United States of America, Carretera , Low ," $2,529.00 ", $3.00 , $7.00 ," $17,703.00 ", $177.03 ," $17,525.97 "," $12,645.00 "," $4,880.97 ",01/07/2014,7, July ,2014
Channel Partners,Canada, Carretera , Low ," $1,445.00 ", $3.00 , $12.00 ," $17,340.00 ", $173.40 ," $17,166.60 "," $4,335.00 "," $12,831.60 ",01/09/2014,9, September ,2014
Enterprise,United States of America, Carretera , Low , $330.00 , $3.00 , $125.00 ," $41,250.00 ", $412.50 ," $40,837.50 "," $39,600.00 "," $1,237.50 ",01/09/2013,9, September ,2013
Channel Partners,France, Carretera , Low ," $2,671.00 ", $3.00 , $12.00 ," $32,052.00 ", $320.52 ," $31,731.48 "," $8,013.00 "," $23,718.48 ",01/09/2014,9, September ,2014
Channel Partners,Germany, Carretera , Low , $766.00 , $3.00 , $12.00 ," $9,192.00 ", $91.92 ," $9,100.08 "," $2,298.00 "," $6,802.08 ",01/10/2013,10, October ,2013
Small Business,Mexico, Carretera , Low , $494.00 , $3.00 , $300.00 ," $1,48,200.00 "," $1,482.00 "," $1,46,718.00 "," $1,23,500.00 "," $23,218.00 ",01/10/2013,10, October ,2013
Government,Mexico, Carretera , Low ," $1,397.00 ", $3.00 , $350.00 ," $4,88,950.00 "," $4,889.50 "," $4,84,060.50 "," $3,63,220.00 "," $1,20,840.50 ",01/10/2014,10, October ,2014
Government,France, Carretera , Low ," $2,155.00 ", $3.00 , $350.00 ," $7,54,250.00 "," $7,542.50 "," $7,46,707.50 "," $5,60,300.00 "," $1,86,407.50 ",01/12/2014,12, December ,2014
Midmarket,Mexico, Montana , Low ," $2,214.00 ", $5.00 , $15.00 ," $33,210.00 ", $332.10 ," $32,877.90 "," $22,140.00 "," $10,737.90 ",01/03/2014,3, March ,2014
Small Business,United States of America, Montana , Low ," $2,301.00 ", $5.00 , $300.00 ," $6,90,300.00 "," $6,903.00 "," $6,83,397.00 "," $5,75,250.00 "," $1,08,147.00 ",01/04/2014,4, April ,2014
Government,France, Montana , Low ," $1,375.50 ", $5.00 , $20.00 ," $27,510.00 ", $275.10 ," $27,234.90 "," $13,755.00 "," $13,479.90 ",01/07/2014,7, July ,2014
Government,Canada, Montana , Low ," $1,830.00 ", $5.00 , $7.00 ," $12,810.00 ", $128.10 ," $12,681.90 "," $9,150.00 "," $3,531.90 ",01/08/2014,8, August ,2014
Small Business,United States of America, Montana , Low ," $2,498.00 ", $5.00 , $300.00 ," $7,49,400.00 "," $7,494.00 "," $7,41,906.00 "," $6,24,500.00 "," $1,17,406.00 ",01/09/2013,9, September ,2013
Enterprise,United States of America, Montana , Low , $663.00 , $5.00 , $125.00 ," $82,875.00 ", $828.75 ," $82,046.25 "," $79,560.00 "," $2,486.25 ",01/10/2013,10, October ,2013
Midmarket,United States of America, Paseo , Low ," $1,514.00 ", $10.00 , $15.00 ," $22,710.00 ", $227.10 ," $22,482.90 "," $15,140.00 "," $7,342.90 ",01/02/2014,2, February ,2014
Government,United States of America, Paseo , Low ," $4,492.50 ", $10.00 , $7.00 ," $31,447.50 ", $314.48 ," $31,133.03 "," $22,462.50 "," $8,670.53 ",01/04/2014,4, April ,2014
Enterprise,United States of America, Paseo , Low , $727.00 , $10.00 , $125.00 ," $90,875.00 ", $908.75 ," $89,966.25 "," $87,240.00 "," $2,726.25 ",01/06/2014,6, June ,2014
Enterprise,France, Paseo , Low , $787.00 , $10.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 "," $94,440.00 "," $2,951.25 ",01/06/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ," $1,823.00 ", $10.00 , $125.00 ," $2,27,875.00 "," $2,278.75 "," $2,25,596.25 "," $2,18,760.00 "," $6,836.25 ",01/07/2014,7, July ,2014
Midmarket,Germany, Paseo , Low , $747.00 , $10.00 , $15.00 ," $11,205.00 ", $112.05 ," $11,092.95 "," $7,470.00 "," $3,622.95 ",01/09/2014,9, September ,2014
Channel Partners,Germany, Paseo , Low , $766.00 , $10.00 , $12.00 ," $9,192.00 ", $91.92 ," $9,100.08 "," $2,298.00 "," $6,802.08 ",01/10/2013,10, October ,2013
Small Business,United States of America, Paseo , Low ," $2,905.00 ", $10.00 , $300.00 ," $8,71,500.00 "," $8,715.00 "," $8,62,785.00 "," $7,26,250.00 "," $1,36,535.00 ",01/11/2014,11, November ,2014
Government,France, Paseo , Low ," $2,155.00 ", $10.00 , $350.00 ," $7,54,250.00 "," $7,542.50 "," $7,46,707.50 "," $5,60,300.00 "," $1,86,407.50 ",01/12/2014,12, December ,2014
Government,France, Velo , Low ," $3,864.00 ", $120.00 , $20.00 ," $77,280.00 ", $772.80 ," $76,507.20 "," $38,640.00 "," $37,867.20 ",01/04/2014,4, April ,2014
Government,Mexico, Velo , Low , $362.00 , $120.00 , $7.00 ," $2,534.00 ", $25.34 ," $2,508.66 "," $1,810.00 ", $698.66 ,01/05/2014,5, May ,2014
Enterprise,Canada, Velo , Low , $923.00 , $120.00 , $125.00 ," $1,15,375.00 "," $1,153.75 "," $1,14,221.25 "," $1,10,760.00 "," $3,461.25 ",01/08/2014,8, August ,2014
Enterprise,United States of America, Velo , Low , $663.00 , $120.00 , $125.00 ," $82,875.00 ", $828.75 ," $82,046.25 "," $79,560.00 "," $2,486.25 ",01/10/2013,10, October ,2013
Government,Canada, Velo , Low ," $2,092.00 ", $120.00 , $7.00 ," $14,644.00 ", $146.44 ," $14,497.56 "," $10,460.00 "," $4,037.56 ",01/11/2013,11, November ,2013
Government,Germany, VTT , Low , $263.00 , $250.00 , $7.00 ," $1,841.00 ", $18.41 ," $1,822.59 "," $1,315.00 ", $507.59 ,01/03/2014,3, March ,2014
Government,Canada, VTT , Low , $943.50 , $250.00 , $350.00 ," $3,30,225.00 "," $3,302.25 "," $3,26,922.75 "," $2,45,310.00 "," $81,612.75 ",01/04/2014,4, April ,2014
Enterprise,United States of America, VTT , Low , $727.00 , $250.00 , $125.00 ," $90,875.00 ", $908.75 ," $89,966.25 "," $87,240.00 "," $2,726.25 ",01/06/2014,6, June ,2014
Enterprise,France, VTT , Low , $787.00 , $250.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 "," $94,440.00 "," $2,951.25 ",01/06/2014,6, June ,2014
Small Business,Germany, VTT , Low , $986.00 , $250.00 , $300.00 ," $2,95,800.00 "," $2,958.00 "," $2,92,842.00 "," $2,46,500.00 "," $46,342.00 ",01/09/2014,9, September ,2014
Small Business,Mexico, VTT , Low , $494.00 , $250.00 , $300.00 ," $1,48,200.00 "," $1,482.00 "," $1,46,718.00 "," $1,23,500.00 "," $23,218.00 ",01/10/2013,10, October ,2013
Government,Mexico, VTT , Low ," $1,397.00 ", $250.00 , $350.00 ," $4,88,950.00 "," $4,889.50 "," $4,84,060.50 "," $3,63,220.00 "," $1,20,840.50 ",01/10/2014,10, October ,2014
Enterprise,France, VTT , Low ," $1,744.00 ", $250.00 , $125.00 ," $2,18,000.00 "," $2,180.00 "," $2,15,820.00 "," $2,09,280.00 "," $6,540.00 ",01/11/2014,11, November ,2014
Channel Partners,United States of America, Amarilla , Low ," $1,989.00 ", $260.00 , $12.00 ," $23,868.00 ", $238.68 ," $23,629.32 "," $5,967.00 "," $17,662.32 ",01/09/2013,9, September ,2013
Midmarket,France, Amarilla , Low , $321.00 , $260.00 , $15.00 ," $4,815.00 ", $48.15 ," $4,766.85 "," $3,210.00 "," $1,556.85 ",01/11/2013,11, November ,2013
Enterprise,Canada, Carretera , Low , $742.50 , $3.00 , $125.00 ," $92,812.50 "," $1,856.25 "," $90,956.25 "," $89,100.00 "," $1,856.25 ",01/04/2014,4, April ,2014
Channel Partners,Canada, Carretera , Low ," $1,295.00 ", $3.00 , $12.00 ," $15,540.00 ", $310.80 ," $15,229.20 "," $3,885.00 "," $11,344.20 ",01/10/2014,10, October ,2014
Small Business,Germany, Carretera , Low , $214.00 , $3.00 , $300.00 ," $64,200.00 "," $1,284.00 "," $62,916.00 "," $53,500.00 "," $9,416.00 ",01/10/2013,10, October ,2013
Government,France, Carretera , Low ," $2,145.00 ", $3.00 , $7.00 ," $15,015.00 ", $300.30 ," $14,714.70 "," $10,725.00 "," $3,989.70 ",01/11/2013,11, November ,2013
Government,Canada, Carretera , Low ," $2,852.00 ", $3.00 , $350.00 ," $9,98,200.00 "," $19,964.00 "," $9,78,236.00 "," $7,41,520.00 "," $2,36,716.00 ",01/12/2014,12, December ,2014
Channel Partners,United States of America, Montana , Low ," $1,142.00 ", $5.00 , $12.00 ," $13,704.00 ", $274.08 ," $13,429.92 "," $3,426.00 "," $10,003.92 ",01/06/2014,6, June ,2014
Government,United States of America, Montana , Low ," $1,566.00 ", $5.00 , $20.00 ," $31,320.00 ", $626.40 ," $30,693.60 "," $15,660.00 "," $15,033.60 ",01/10/2014,10, October ,2014
Channel Partners,Mexico, Montana , Low , $690.00 , $5.00 , $12.00 ," $8,280.00 ", $165.60 ," $8,114.40 "," $2,070.00 "," $6,044.40 ",01/11/2014,11, November ,2014
Enterprise,Mexico, Montana , Low ," $1,660.00 ", $5.00 , $125.00 ," $2,07,500.00 "," $4,150.00 "," $2,03,350.00 "," $1,99,200.00 "," $4,150.00 ",01/11/2013,11, November ,2013
Midmarket,Canada, Paseo , Low ," $2,363.00 ", $10.00 , $15.00 ," $35,445.00 ", $708.90 ," $34,736.10 "," $23,630.00 "," $11,106.10 ",01/02/2014,2, February ,2014
Small Business,France, Paseo , Low , $918.00 , $10.00 , $300.00 ," $2,75,400.00 "," $5,508.00 "," $2,69,892.00 "," $2,29,500.00 "," $40,392.00 ",01/05/2014,5, May ,2014
Small Business,Germany, Paseo , Low ," $1,728.00 ", $10.00 , $300.00 ," $5,18,400.00 "," $10,368.00 "," $5,08,032.00 "," $4,32,000.00 "," $76,032.00 ",01/05/2014,5, May ,2014
Channel Partners,United States of America, Paseo , Low ," $1,142.00 ", $10.00 , $12.00 ," $13,704.00 ", $274.08 ," $13,429.92 "," $3,426.00 "," $10,003.92 ",01/06/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low , $662.00 , $10.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 "," $79,440.00 "," $1,655.00 ",01/06/2014,6, June ,2014
Channel Partners,Canada, Paseo , Low ," $1,295.00 ", $10.00 , $12.00 ," $15,540.00 ", $310.80 ," $15,229.20 "," $3,885.00 "," $11,344.20 ",01/10/2014,10, October ,2014
Enterprise,Germany, Paseo , Low , $809.00 , $10.00 , $125.00 ," $1,01,125.00 "," $2,022.50 "," $99,102.50 "," $97,080.00 "," $2,022.50 ",01/10/2013,10, October ,2013
Enterprise,Mexico, Paseo , Low ," $2,145.00 ", $10.00 , $125.00 ," $2,68,125.00 "," $5,362.50 "," $2,62,762.50 "," $2,57,400.00 "," $5,362.50 ",01/10/2013,10, October ,2013
Channel Partners,France, Paseo , Low ," $1,785.00 ", $10.00 , $12.00 ," $21,420.00 ", $428.40 ," $20,991.60 "," $5,355.00 "," $15,636.60 ",01/11/2013,11, November ,2013
Small Business,Canada, Paseo , Low ," $1,916.00 ", $10.00 , $300.00 ," $5,74,800.00 "," $11,496.00 "," $5,63,304.00 "," $4,79,000.00 "," $84,304.00 ",01/12/2014,12, December ,2014
Government,Canada, Paseo , Low ," $2,852.00 ", $10.00 , $350.00 ," $9,98,200.00 "," $19,964.00 "," $9,78,236.00 "," $7,41,520.00 "," $2,36,716.00 ",01/12/2014,12, December ,2014
Enterprise,Canada, Paseo , Low ," $2,729.00 ", $10.00 , $125.00 ," $3,41,125.00 "," $6,822.50 "," $3,34,302.50 "," $3,27,480.00 "," $6,822.50 ",01/12/2014,12, December ,2014
Midmarket,United States of America, Paseo , Low ," $1,925.00 ", $10.00 , $15.00 ," $28,875.00 ", $577.50 ," $28,297.50 "," $19,250.00 "," $9,047.50 ",01/12/2013,12, December ,2013
Government,United States of America, Paseo , Low ," $2,013.00 ", $10.00 , $7.00 ," $14,091.00 ", $281.82 ," $13,809.18 "," $10,065.00 "," $3,744.18 ",01/12/2013,12, December ,2013
Channel Partners,France, Paseo , Low ," $1,055.00 ", $10.00 , $12.00 ," $12,660.00 ", $253.20 ," $12,406.80 "," $3,165.00 "," $9,241.80 ",01/12/2014,12, December ,2014
Channel Partners,Mexico, Paseo , Low ," $1,084.00 ", $10.00 , $12.00 ," $13,008.00 ", $260.16 ," $12,747.84 "," $3,252.00 "," $9,495.84 ",01/12/2014,12, December ,2014
Government,United States of America, Velo , Low ," $1,566.00 ", $120.00 , $20.00 ," $31,320.00 ", $626.40 ," $30,693.60 "," $15,660.00 "," $15,033.60 ",01/10/2014,10, October ,2014
Government,Germany, Velo , Low ," $2,966.00 ", $120.00 , $350.00 ," $10,38,100.00 "," $20,762.00 "," $10,17,338.00 "," $7,71,160.00 "," $2,46,178.00 ",01/10/2013,10, October ,2013
Government,Germany, Velo , Low ," $2,877.00 ", $120.00 , $350.00 ," $10,06,950.00 "," $20,139.00 "," $9,86,811.00 "," $7,48,020.00 "," $2,38,791.00 ",01/10/2014,10, October ,2014
Enterprise,Germany, Velo , Low , $809.00 , $120.00 , $125.00 ," $1,01,125.00 "," $2,022.50 "," $99,102.50 "," $97,080.00 "," $2,022.50 ",01/10/2013,10, October ,2013
Enterprise,Mexico, Velo , Low ," $2,145.00 ", $120.00 , $125.00 ," $2,68,125.00 "," $5,362.50 "," $2,62,762.50 "," $2,57,400.00 "," $5,362.50 ",01/10/2013,10, October ,2013
Channel Partners,France, Velo , Low ," $1,055.00 ", $120.00 , $12.00 ," $12,660.00 ", $253.20 ," $12,406.80 "," $3,165.00 "," $9,241.80 ",01/12/2014,12, December ,2014
Government,Mexico, Velo , Low , $544.00 , $120.00 , $20.00 ," $10,880.00 ", $217.60 ," $10,662.40 "," $5,440.00 "," $5,222.40 ",01/12/2013,12, December ,2013
Channel Partners,Mexico, Velo , Low ," $1,084.00 ", $120.00 , $12.00 ," $13,008.00 ", $260.16 ," $12,747.84 "," $3,252.00 "," $9,495.84 ",01/12/2014,12, December ,2014
Enterprise,Mexico, VTT , Low , $662.00 , $250.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 "," $79,440.00 "," $1,655.00 ",01/06/2014,6, June ,2014
Small Business,Germany, VTT , Low , $214.00 , $250.00 , $300.00 ," $64,200.00 "," $1,284.00 "," $62,916.00 "," $53,500.00 "," $9,416.00 ",01/10/2013,10, October ,2013
Government,Germany, VTT , Low ," $2,877.00 ", $250.00 , $350.00 ," $10,06,950.00 "," $20,139.00 "," $9,86,811.00 "," $7,48,020.00 "," $2,38,791.00 ",01/10/2014,10, October ,2014
Enterprise,Canada, VTT , Low ," $2,729.00 ", $250.00 , $125.00 ," $3,41,125.00 "," $6,822.50 "," $3,34,302.50 "," $3,27,480.00 "," $6,822.50 ",01/12/2014,12, December ,2014
Government,United States of America, VTT , Low , $266.00 , $250.00 , $350.00 ," $93,100.00 "," $1,862.00 "," $91,238.00 "," $69,160.00 "," $22,078.00 ",01/12/2013,12, December ,2013
Government,Mexico, VTT , Low ," $1,940.00 ", $250.00 , $350.00 ," $6,79,000.00 "," $13,580.00 "," $6,65,420.00 "," $5,04,400.00 "," $1,61,020.00 ",01/12/2013,12, December ,2013
Small Business,Germany, Amarilla , Low , $259.00 , $260.00 , $300.00 ," $77,700.00 "," $1,554.00 "," $76,146.00 "," $64,750.00 "," $11,396.00 ",01/03/2014,3, March ,2014
Small Business,Mexico, Amarilla , Low ," $1,101.00 ", $260.00 , $300.00 ," $3,30,300.00 "," $6,606.00 "," $3,23,694.00 "," $2,75,250.00 "," $48,444.00 ",01/03/2014,3, March ,2014
Enterprise,Germany, Amarilla , Low ," $2,276.00 ", $260.00 , $125.00 ," $2,84,500.00 "," $5,690.00 "," $2,78,810.00 "," $2,73,120.00 "," $5,690.00 ",01/05/2014,5, May ,2014
Government,Germany, Amarilla , Low ," $2,966.00 ", $260.00 , $350.00 ," $10,38,100.00 "," $20,762.00 "," $10,17,338.00 "," $7,71,160.00 "," $2,46,178.00 ",01/10/2013,10, October ,2013
